Key: RF01807, Start position: 301, Cut position: 873
Key: RF01807, Start position: 301, Cut position: 873
Key: RF01807, Start position: 301, Cut position: 873
Key: RF01807, Start position: 301, Cut position: 873
Key: RF01807, Start position: 301, Cut position: 873
Key: RF00957, Start position: 535, Cut position: 691
Key: RF00957, Start position: 584, Cut position: 691
Key: RF00957, Start position: 529, Cut position: 691
Key: RF00957, Start position: 541, Cut position: 691
Key: RF00957, Start position: 528, Cut position: 691
Key: RF00634, Start position: 312, Cut position: 753
Key: RF00634, Start position: 308, Cut position: 753
Key: RF00634, Start position: 308, Cut position: 753
Key: RF00634, Start position: 308, Cut position: 753
Key: RF00634, Start position: 323, Cut position: 753
Key: RF01689, Start position: 328, Cut position: 713
Key: RF01689, Start position: 346, Cut position: 713
Key: RF01689, Start position: 344, Cut position: 713
Key: RF01689, Start position: 348, Cut position: 713
Key: RF01689, Start position: 347, Cut position: 713
Key: RF00166, Start position: 314, Cut position: 753
Key: RF00166, Start position: 314, Cut position: 753
Key: RF00166, Start position: 314, Cut position: 753
Key: RF00166, Start position: 314, Cut position: 753
Key: RF00166, Start position: 316, Cut position: 753
Key: RF00001, Start position: 402, Cut position: 831
Key: RF00001, Start position: 403, Cut position: 831
Key: RF00001, Start position: 406, Cut position: 831
Key: RF00001, Start position: 402, Cut position: 831
Key: RF00001, Start position: 373, Cut position: 831
Key: RF00002, Start position: 322, Cut position: 808
Key: RF00002, Start position: 320, Cut position: 808
Key: RF00002, Start position: 327, Cut position: 808
Key: RF00002, Start position: 328, Cut position: 808
Key: RF00002, Start position: 332, Cut position: 808
Key: RF00480, Start position: 337, Cut position: 653
Key: RF00480, Start position: 336, Cut position: 653
Key: RF00480, Start position: 336, Cut position: 653
Key: RF00480, Start position: 336, Cut position: 653
Key: RF00480, Start position: 328, Cut position: 653
Key: RF02540, Start position: 495, Cut position: 4837
Key: RF02540, Start position: 495, Cut position: 4837
Key: RF02540, Start position: 493, Cut position: 4837
Key: RF02540, Start position: 493, Cut position: 4837
Key: RF02540, Start position: 493, Cut position: 4837
Key: RF00240, Start position: 300, Cut position: 678
Key: RF00240, Start position: 300, Cut position: 678
Key: RF00240, Start position: 300, Cut position: 678
Key: RF00240, Start position: 300, Cut position: 678
Key: RF00240, Start position: 300, Cut position: 678
Key: RF00083, Start position: 387, Cut position: 850
Key: RF00083, Start position: 387, Cut position: 850
Key: RF00083, Start position: 387, Cut position: 850
Key: RF00083, Start position: 402, Cut position: 850
Key: RF00083, Start position: 386, Cut position: 850
Key: RF00507, Start position: 313, Cut position: 682
Key: RF00507, Start position: 312, Cut position: 682
Key: RF00507, Start position: 312, Cut position: 682
Key: RF00507, Start position: 312, Cut position: 682
Key: RF00507, Start position: 312, Cut position: 682
