Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 326, Cut position: 753
Key: RF00634, Start position: 320, Cut position: 753
Key: RF00634, Start position: 320, Cut position: 753
Key: RF00634, Start position: 320, Cut position: 753
Key: RF00634, Start position: 320, Cut position: 753
Key: RF01689, Start position: 356, Cut position: 713
Key: RF01689, Start position: 358, Cut position: 713
Key: RF01689, Start position: 358, Cut position: 713
Key: RF01689, Start position: 356, Cut position: 713
Key: RF01689, Start position: 356, Cut position: 713
Key: RF01689, Start position: 356, Cut position: 713
Key: RF01689, Start position: 357, Cut position: 713
Key: RF01689, Start position: 357, Cut position: 713
Key: RF01689, Start position: 357, Cut position: 713
Key: RF01689, Start position: 357, Cut position: 713
Key: RF02543, Start position: 359, Cut position: 8996
Key: RF02543, Start position: 360, Cut position: 8996
Key: RF02543, Start position: 359, Cut position: 8996
Key: RF02543, Start position: 359, Cut position: 8996
Key: RF02543, Start position: 359, Cut position: 8996
Key: RF02543, Start position: 357, Cut position: 8996
Key: RF02543, Start position: 354, Cut position: 8996
Key: RF02543, Start position: 357, Cut position: 8996
Key: RF02543, Start position: 356, Cut position: 8996
Key: RF02543, Start position: 354, Cut position: 8996
Key: RF00166, Start position: 324, Cut position: 753
Key: RF00166, Start position: 322, Cut position: 753
Key: RF00166, Start position: 322, Cut position: 753
Key: RF00166, Start position: 324, Cut position: 753
Key: RF00166, Start position: 322, Cut position: 753
Key: RF00166, Start position: 322, Cut position: 753
Key: RF00166, Start position: 322, Cut position: 753
Key: RF00166, Start position: 324, Cut position: 753
Key: RF00166, Start position: 342, Cut position: 753
Key: RF00166, Start position: 339, Cut position: 753
Key: RF00001, Start position: 427, Cut position: 831
Key: RF00001, Start position: 426, Cut position: 831
Key: RF00001, Start position: 436, Cut position: 831
Key: RF00001, Start position: 431, Cut position: 831
Key: RF00001, Start position: 419, Cut position: 831
Key: RF00001, Start position: 418, Cut position: 831
Key: RF00001, Start position: 468, Cut position: 831
Key: RF00001, Start position: 601, Cut position: 831
Key: RF00001, Start position: 601, Cut position: 831
Key: RF00001, Start position: 601, Cut position: 831
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF02541, Start position: 300, Cut position: 5842
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 375, Cut position: 804
Key: RF00003, Start position: 376, Cut position: 804
Key: RF00003, Start position: 447, Cut position: 804
Key: RF02542, Start position: 376, Cut position: 2353
Key: RF02542, Start position: 376, Cut position: 2353
Key: RF02542, Start position: 351, Cut position: 2353
Key: RF02542, Start position: 351, Cut position: 2353
Key: RF02542, Start position: 351, Cut position: 2353
Key: RF02542, Start position: 351, Cut position: 2353
Key: RF02542, Start position: 366, Cut position: 2353
