Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 318, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF01725, Start position: 314, Cut position: 934
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 307, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00114, Start position: 306, Cut position: 741
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF00634, Start position: 304, Cut position: 753
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 308, Cut position: 713
Key: RF01689, Start position: 309, Cut position: 713
Key: RF01689, Start position: 309, Cut position: 713
Key: RF01689, Start position: 309, Cut position: 713
Key: RF01689, Start position: 309, Cut position: 713
Key: RF00166, Start position: 409, Cut position: 753
Key: RF00166, Start position: 411, Cut position: 753
Key: RF00166, Start position: 408, Cut position: 753
Key: RF00166, Start position: 410, Cut position: 753
Key: RF00166, Start position: 407, Cut position: 753
